# Competitor Claude Code Videos - URLs for Transcript Download
# Format: VIDEO_ID | Channel | Title | Duration

# === TIER 1: Full Courses & Long-Form (60+ min) ===
QoQBzR1NIqI | Nick Saraev | CLAUDE CODE FULL COURSE 4 HOURS: Build & Sell (2026) | 4:10:43
UgUaLhPKk80 | Julian Goldie SEO | Claude AI FULL COURSE 5 HOURS (Build & Automate Anything) | 5:01:20
4nthc76rSl8 | Aakash Gupta | I should be charging $999 for this Claude Code Tutorial | 1:37:04
59gy_24KIVE | Aakash Gupta | Claude Code Advanced Masterclass in Under 81 Mins | 1:20:35
fYX6hHC9FhQ | Sabrina Ramonov | CLAUDE CODE FULL COURSE (for beginners) | 1:12:20

# === TIER 2: Comprehensive Tutorials (30-60 min) ===
mZzhfPle9QU | John Kim | How I use Claude Code (Meta Staff Engineer Tips) | 46:13
v1ynWeHhzXs | Allie K Miller | Claude Code for Absolute Beginners: STEP-BY-STEP TUTORIAL | 43:15
2bsfQThGXxc | Liam Ottley | How to Automate Your Life & Work w/ Claude Code | 41:46
DSKO9ZtbHFA | Jack Roberts | Master 95% of Claude Code in 40 mins (for Beginners) | 40:12
Y09u_S3w2c8 | Simon Scrapes | Every Level of Claude Code Explained in 39 Minutes | 39:22
saggDHHnmtQ | Nate Herk | Master 95% of Claude Code in 36 Mins (as a beginner) | 36:58
421T2iWTQio | Kenny Liao | The Only Claude Skills Guide You Need (Beginner to Expert) | 36:11
ntDIxaeo3Wg | Tech With Tim | Claude Code - Full Tutorial for Beginners | 35:49
stEVjMHMt-Q | Mikey Ranks | Claude Cowork Full Tutorial for Beginners | 35:29
3HVH2Iuplqo | Sabrina Ramonov | Claude Code Tutorial for Beginners | 35:03
zxMjOqM7DFs | Greg Isenberg | Claude Code Clearly Explained (and how to use it) | 31:28
amEUIuBKwvg | Cole Medin | A Complete Guide to Claude Code | 50:17
LvLdNkgO-N0 | How I AI | The senior engineer's guide to AI coding | 56:38
FyS3pt2kiK4 | AI Learners India | Claude Code Tutorial in Hindi | 30:14

# === TIER 3: Focused Deep-Dives (15-30 min) ===
f8RnRuaxee8 | IndyDevDan | How I PARALLELIZE Claude Code with Git Worktrees | 28:00
7B2HJr0Y68g | IndyDevDan | My Claude Code Sub Agents BUILD THEMSELVES | 30:00
u5GkG71PkR0 | IndyDevDan | The Claude Code Feature Senior Engineers KEEP MISSING | 27:00
kFpLzCVLA20 | IndyDevDan | I finally CRACKED Claude Agent Skills | 27:00
nGhsgdQplHw | IndyDevDan | Claude Code 2.0 Agentic Coding | 27:00
HpnISrNvo0U | codebasics | Claude Code Crash Course for Beginners | 28:27
ZlDnsf_DOzg | Simon Scrapes | Every Claude Code Concept Explained for Normal People | 27:24
oC0mPBSmzfQ | Liam Ottley + Peter Yang | How to Automate Your Work with Claude Code | 27:09
mi4hcipESKQ | Nate Herk | Turn Claude Code Into Your Executive Assistant | 27:14
tDGiWn0flK8 | Nate Herk | From Zero to Your First Agentic AI Workflow | 26:23
3GAxd90fEE4 | Nate Herk | How I'd Teach a 10 Year Old to Build Agentic Workflows | 28:24
vFepZE_wrfg | Nate Herk | How to Build $10,000 Agentic Workflows | 24:55
T_IYHx-9VGU | Matt Maher | I Went Deep on Claude Code — These Are My Top 13 Tricks | 26:08
UVJXh57MgI0 | Alex Finn | The only Claude Code guide you'll ever need | 24:45
WpQZlKiy3zo | John Kim | His Claude Code Workflow Is Insane | 22:29
cSkoaCCmq0w | Bart Slodyczka | Learn 90% Of Claude Code Agent Teams in 22 Minutes | 22:02
TzJecWCbex0 | Mark Kashef | Anthropic's Full Claude Skills Guide In 22 Minutes | 22:20
bFC1QGEQ2E8 | Eric Tech | Claude Skills Explained: 4 Skills to 10x Your Coding Workflow | 22:51
6q8joS_592k | Mikey No Code | Claude Code Tutorial for Beginners: Build App with AI | 21:52
pKPSgxLkU8g | Zinho Automates | How To Use Claude Code Better than 99% of People | 21:21
rVEoyx349Hk | Chase AI | 567 Hours of Claude Code Lessons in 20 Minutes | 20:48
V9atNrDjnZs | Simon Scrapes | You're using Claude Code Wrong - These 10 Tips | 20:27
Wxf9oqxODU0 | Jack Roberts | Claude Code just became UNSTOPPABLE (Skills 2.0) | 29:53
kddjxKEeCuM | Leon van Zyl | How to Set Up Claude Code in 2026 | 19:44
X3uum6W2xEI | Ben AI | How to build Claude Skills Better than 99% of People | 18:36
901VMcZq8X4 | Sean Kochel | These 5 Claude Code Skills Are Your New Unfair Advantage | 18:00
WwdIYp5fuxY | Academind | My top 6 tips & ways of using Claude Code efficiently | 17:44
8xfIarQ9mL0 | Oliur Online | Claude Code - Idiots guide | 17:39
JMQ0X_si144 | UI Collective | Design with Claude Code: The Designer's Guide | 16:10
6-D3fg3JUL4 | Simon Scrapes | How to Use Claude Code Skills Like the 1% | 16:33
CEvIs9y1uog | AI Engineer | Don't Build Agents, Build Skills Instead (Anthropic talk) | 16:22
eMZmDH3T2bY | Kevin Stratvert | Claude Code Tutorial for Beginners | 14:44
LlFgLsffbBs | Zinho Automates | The ONLY Claude Code Tutorial You'll Ever Need in 2026 | 14:29

# === TIER 4: Quick Tips & Tricks (under 15 min) ===
TiNpzxoBPz0 | Greg Baugues | Claude Code - 47 PRO TIPS in 9 minutes | 9:19
-hfxPV1fAhE | Zinho Automates | STOP Wasting Time & Master Claude Skills (2.0) | 13:21
n7iT5r0Sl_Y | Steve (Builder.io) | How I use Claude Code (+ my best tips) | 12:44
TmsH-RIHvas | AI LABS | 10 Crazy Claude Code Tips That Give You An Unfair Advantage | 12:20
kZ-zzHVUrO4 | Matt Pocock | How I use Claude Code for real engineering | 10:12
3aKVArutiIU | Sajjaad Khader | 1000+ hours of Learning Claude Code in 10 Minutes | 9:56
BlNJFa3Btm8 | Nate Herk | Claude Code 2.0 Is Finally Here | 9:44
Z8b6h8cNx-Y | Morning Maker Show | Be a pro at Claude Code in 9 min! 31 tips | 9:06
s-Mc26Ytz10 | Teacher's Tech | Claude Code for Beginners — Build Your First App | 13:58
Ffh9OeJ7yxw | Edmund Yong | 800+ hours of Learning Claude Code in 8 minutes | 8:01
AKKx1PoNtnM | Abhishek Veeramalla | Setup Claude Code for FREE in 3 Simple steps | 8:13
z_VI51k-tn0 | Developers Digest | Claude Code Worktrees in 7 Minutes | 7:10
3CSi8QAoN-s | Matt Pocock | How to actually force Claude Code to use the right CLI | 6:51

# === NOT YET FOUND ON YOUTUBE (from initial web research) ===
9UdZhTnMrTA | CS Dojo (YK) | Claude Code Masterclass
jWlAvdR8HG0 | Peter Yang | 20 Tips to Master Claude Code in 35 Minutes
gWNFna6fgS8 | Greg Isenberg | How Claude Code Ranked Me FIRST on Google (SEO)
J5B9UGTuNoM | IndyDevDan | I'm HOOKED on Claude Code Hooks
4_2j5wgt_ds | IndyDevDan | Claude Code Task System: ANTI-HYPE Agentic Coding

# Total: ~65 unique videos across ~30 creators
